trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,gross_pnl,commission,pnl,exit_reason,mae,mfe,duration_min
1,long,2024-01-03 13:45:00,1135.4538434049084,2024-01-03 14:15:00,1141.2769038343579,10,5823060.42944947,341509.6120858899,5481550.81736358,Take profit,0.2538434049083662,0.7461565950916338,30.0
2,long,2024-01-04 10:00:00,1148.5636594971515,2024-01-04 11:00:00,1155.6456164800616,10,7081956.982910015,345631.3913965819,6736325.591513433,Take profit,0.6636594971514569,4.436340502848452,60.0
3,long,2024-01-04 13:45:00,1166.1795690199644,2024-01-04 14:15:00,1160.3582898879567,8,-4657023.305606162,279184.54306895053,-4936207.848675113,Stop loss,0.0,1.720430980035644,30.0
4,long,2024-01-19 09:30:00,1184.3676448195235,2024-01-19 14:00:00,1181.4232278884938,10,-2944416.931029764,354868.6309062026,-3299285.561935967,Stop loss,1.767644819523639,3.132355180476452,270.0
5,long,2024-01-24 10:15:00,1187.2837986981078,2024-01-24 10:45:00,1182.9,10,-4383798.698107739,355527.56980471616,-4739326.267912455,Stop loss,3.28379869810783,0.0,30.0
6,long,2024-01-26 09:30:00,1185.3590569820763,2024-01-26 14:15:00,1187.4,10,2040943.017923837,355913.8585473114,1685029.1593765258,Last Candle Close,0.05905698207629939,2.140943017923746,285.0
7,long,2024-02-02 09:45:00,1181.1946707702368,2024-02-02 10:15:00,1178.3,10,-2894670.770236871,353924.2006155355,-3248594.9708524067,Stop loss,0.9946707702367803,0.0,30.0
8,long,2024-02-07 11:15:00,1208.926870613239,2024-02-07 13:30:00,1214.5880942926733,10,5661223.679434216,363527.2447358868,5297696.434698328,Take profit,0.1268706132391344,3.573129386760911,135.0
9,long,2024-02-15 14:00:00,1224.952442936194,2024-02-15 14:15:00,1222.0,10,-2952442.936194075,367042.866440429,-3319485.8026345037,Stop loss,0.4524429361940747,0.0,15.0
10,long,2024-02-19 11:00:00,1233.7590544753837,2024-02-19 14:15:00,1240.813381327685,10,7054326.852301301,371185.8653704603,6683140.986930842,Take profit,1.1590544753837548,5.140945524616427,195.0
11,long,2024-02-21 10:45:00,1240.4061721277244,2024-02-21 14:15:00,1242.7,10,2293827.872275642,372465.9258191586,1921361.9464564836,Last Candle Close,2.6061721277244487,0.6938278722755058,210.0
12,long,2024-02-26 13:45:00,1228.7686423990465,2024-02-26 14:15:00,1229.0,10,231357.60095351544,368665.2963598569,-137307.69540634146,Last Candle Close,0.3686423990463936,1.2313576009535154,30.0
13,long,2024-02-27 11:15:00,1234.99828542455,2024-02-27 14:15:00,1241.5,10,6501714.575450024,371474.7428136825,6130239.832636341,Last Candle Close,0.7982854245499311,4.401714575450114,180.0
14,long,2024-02-29 09:45:00,1270.4090497646055,2024-02-29 10:15:00,1265.0,10,-5409049.76460547,380311.3574646908,-5789361.122070161,Stop loss,3.2090497646054246,0.0,30.0
15,long,2024-03-06 10:00:00,1279.3,2024-03-06 11:15:00,1275.3,10,-4000000.0,383189.99999999994,-4383190.0,Stop loss,2.7000000000000455,0.0,75.0
