datetime,position,equity,cash,unrealized_pnl,close_price
2024-01-02 10:40:00,FLAT,500000000.0,500000000.0,0.0,1137.5
2024-01-02 10:45:00,FLAT,500000000.0,500000000.0,0.0,1137.4
2024-01-02 10:50:00,FLAT,500000000.0,500000000.0,0.0,1135.5
2024-01-02 10:55:00,FLAT,500000000.0,500000000.0,0.0,1134.7
2024-01-02 11:00:00,FLAT,500000000.0,500000000.0,0.0,1134.0
2024-01-02 11:05:00,FLAT,500000000.0,500000000.0,0.0,1132.9
2024-01-02 11:10:00,FLAT,500000000.0,500000000.0,0.0,1132.9
2024-01-02 11:15:00,FLAT,500000000.0,500000000.0,0.0,1132.0
2024-01-02 11:20:00,FLAT,500000000.0,500000000.0,0.0,1132.9
2024-01-02 11:25:00,FLAT,500000000.0,500000000.0,0.0,1132.8
2024-01-02 11:30:00,FLAT,500000000.0,500000000.0,0.0,1132.6
2024-01-02 13:00:00,FLAT,500000000.0,500000000.0,0.0,1133.5
2024-01-02 13:05:00,FLAT,500000000.0,500000000.0,0.0,1133.3
2024-01-02 13:10:00,FLAT,500000000.0,500000000.0,0.0,1133.7
2024-01-02 13:15:00,FLAT,500000000.0,500000000.0,0.0,1133.6
2024-01-02 13:20:00,FLAT,500000000.0,500000000.0,0.0,1134.2
2024-01-02 13:25:00,FLAT,500000000.0,500000000.0,0.0,1133.8
2024-01-02 13:30:00,FLAT,500000000.0,500000000.0,0.0,1132.0
2024-01-02 13:35:00,SHORT,497430320.0000001,499830320.0,-2399999.9999998636,1133.6
2024-01-02 13:40:00,SHORT,497930320.0000001,499830320.0,-1899999.9999998636,1133.1
2024-01-02 13:45:00,SHORT,497230320.0000001,499830320.0,-2599999.999999909,1133.8
2024-01-02 13:50:00,FLAT,496260130.0000001,496260130.0000001,0.0,1134.1
2024-01-02 13:55:00,FLAT,496260130.0000001,496260130.0000001,0.0,1135.0
2024-01-02 14:00:00,FLAT,496260130.0000001,496260130.0000001,0.0,1133.7
2024-01-02 14:05:00,FLAT,496260130.0000001,496260130.0000001,0.0,1134.9
2024-01-02 14:10:00,FLAT,496260130.0000001,496260130.0000001,0.0,1134.4
2024-01-02 14:15:00,FLAT,496260130.0000001,496260130.0000001,0.0,1133.0
2024-01-02 14:20:00,FLAT,496260130.0000001,496260130.0000001,0.0,1132.6
2024-01-02 14:25:00,FLAT,496260130.0000001,496260130.0000001,0.0,1132.6
2024-01-02 14:30:00,FLAT,496260130.0000001,496260130.0000001,0.0,1132.3
2024-01-03 09:00:00,FLAT,496260130.0000001,496260130.0000001,0.0,1128.3
2024-01-03 09:05:00,FLAT,496260130.0000001,496260130.0000001,0.0,1127.2
2024-01-03 09:10:00,FLAT,496260130.0000001,496260130.0000001,0.0,1127.4
2024-01-03 09:15:00,FLAT,496260130.0000001,496260130.0000001,0.0,1127.7
2024-01-03 09:20:00,FLAT,496260130.0000001,496260130.0000001,0.0,1127.7
2024-01-03 09:25:00,FLAT,496260130.0000001,496260130.0000001,0.0,1127.6
