trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,gross_pnl,commission,pnl,exit_reason,mae,mfe,duration_min
1,long,2024-01-03 14:00:00,1135.9335444444446,2024-01-03 14:15:00,1141.6,10,5666455.555555331,341630.0316666666,5324825.523888664,Last Candle Close,0.7335444444445329,0.0,15.0
2,long,2024-01-04 13:45:00,1166.455552069252,2024-01-04 14:15:00,1163.9,10,-2555552.069251917,349553.3328103878,-2905105.402062305,Stop loss,0.0,1.4444479307480833,30.0
3,short,2024-01-11 14:00:00,1166.8,2024-01-11 14:15:00,1165.1,10,1700000.0000000454,349784.99999999994,1350215.0000000454,Last Candle Close,0.0,0.0,15.0
4,short,2024-01-12 10:00:00,1157.0224392326945,2024-01-12 10:30:00,1159.8,10,-2777560.767305431,347523.36588490417,-3125084.1331903352,Stop loss,0.0,0.0,30.0
5,short,2024-01-17 13:45:00,1170.0685398117225,2024-01-17 14:15:00,1165.6,10,4468539.811722621,350350.2809717583,4118189.5307508633,Last Candle Close,0.0,0.0,30.0
6,long,2024-01-19 10:30:00,1184.8847492371392,2024-01-19 13:45:00,1182.3,10,-2584749.237139249,355077.71238557086,-2939826.94952482,Stop loss,1.1847492371391581,0.7152507628607054,195.0
7,long,2024-01-24 09:45:00,1187.8551271773752,2024-01-24 10:30:00,1185.5,10,-2355127.1773751522,356003.26907660626,-2711130.4464517585,Stop loss,0.6551271773751068,0.0,45.0
8,short,2024-01-25 10:00:00,1178.2566913903083,2024-01-25 10:30:00,1180.6,10,-2343308.6096915756,353828.5037085462,-2697137.1134001217,Stop loss,0.0,0.0,30.0
9,short,2024-01-25 11:15:00,1178.3258949375982,2024-01-25 13:00:00,1180.6,10,-2274105.062401759,353838.8842406396,-2627943.946642399,Stop loss,0.0,0.0,105.0
10,short,2024-01-25 14:15:00,1177.2279432820976,2024-01-25 14:15:00,1179.6,10,-2372056.717902296,353524.19149231457,-2725580.9093946107,Stop loss,0.0,0.0,0.0
11,long,2024-01-26 10:15:00,1185.826392765323,2024-01-26 14:15:00,1187.4,10,1573607.2346771834,355983.9589147984,1217623.275762385,Last Candle Close,0.526392765322953,1.6736072346770925,240.0
12,long,2024-02-05 10:15:00,1185.3828477934328,2024-02-05 13:45:00,1192.5709656472495,10,7188117.853816721,356693.0720161024,6831424.781800618,Take profit,0.0,5.4171522065671525,210.0
13,long,2024-02-07 11:00:00,1209.481240302601,2024-02-07 13:30:00,1216.6615503438059,10,7180310.041204848,363921.41859696095,6816388.622607888,Take profit,0.6812403026010543,3.018759697398991,150.0
14,long,2024-02-15 14:00:00,1225.4652788632263,2024-02-15 14:15:00,1223.4,10,-2065278.86322624,367329.79182948393,-2432608.655055724,Stop loss,0.9652788632263309,0.0,15.0
15,long,2024-02-19 13:30:00,1236.0935298422874,2024-02-19 14:15:00,1242.6,10,6506470.157712556,371804.0294763431,6134666.128236214,Last Candle Close,0.0,2.806470157712738,45.0
16,long,2024-02-21 09:45:00,1240.8502902114817,2024-02-21 10:30:00,1240.9648783290852,10,114588.11760348908,372272.27528108493,-257684.15767759585,Stop loss,0.0,6.049709788518385,45.0
17,long,2024-02-21 10:45:00,1240.9986462358852,2024-02-21 11:00:00,1238.6,10,-2398646.2358852807,371939.79693538276,-2770586.0328206634,Stop loss,0.0,0.10135376411471952,15.0
18,long,2024-02-23 09:30:00,1243.9010788933947,2024-02-23 09:45:00,1241.7,10,-2201078.8933946514,372840.16183400917,-2573919.0552286603,Stop loss,0.6010788933947424,0.0,15.0
19,long,2024-02-23 10:30:00,1243.9513209639495,2024-02-23 13:00:00,1251.9577370745612,10,8006416.110611781,374386.3587057765,7632029.751906004,Take profit,0.0,6.348679036050498,150.0
20,long,2024-02-26 14:15:00,1229.3410655692078,2024-02-26 14:15:00,1229.0,10,-341065.5692077853,368751.1598353811,-709816.7290431664,Last Candle Close,0.0,0.0,0.0
21,long,2024-02-27 11:00:00,1235.6078954370576,2024-02-27 14:15:00,1241.5,10,5892104.56294245,371566.1843155586,5520538.378626891,Last Candle Close,1.4078954370575048,3.7921045629425407,195.0
22,long,2024-02-28 13:45:00,1253.018878902843,2024-02-28 14:15:00,1261.5,10,8481121.09715703,377177.8318354264,8103943.265321603,Last Candle Close,0.0,4.481121097157029,30.0
23,long,2024-02-29 09:45:00,1270.9084387697044,2024-02-29 09:45:00,1268.0,10,-2908438.7697043894,380836.2658154556,-3289275.035519845,Stop loss,0.0,0.0,0.0
24,short,2024-03-04 11:00:00,1265.9163696424273,2024-03-04 13:15:00,1268.6,10,-2683630.3575726105,380177.45544636407,-3063807.8130189744,Stop loss,0.0,0.0,135.0
25,long,2024-03-06 09:45:00,1279.9398493860515,2024-03-06 10:15:00,1277.4,10,-2539849.386051401,383600.9774079077,-2923450.3634593086,Stop loss,1.3398493860515828,0.0,30.0
26,long,2024-03-07 10:45:00,1270.675549653184,2024-03-07 11:15:00,1267.8,10,-2875549.6531839524,380771.3324479775,-3256320.9856319297,Stop loss,1.6755496531839071,0.0,30.0
27,long,2024-03-07 13:45:00,1272.6307921325276,2024-03-07 14:00:00,1269.8,10,-2830792.1325276764,381364.61881987914,-3212156.751347556,Stop loss,0.0,0.26920786747245984,15.0
28,long,2024-03-13 10:00:00,1246.534261988091,2024-03-13 13:45:00,1258.3435345016758,10,11809272.513584802,375731.669473465,11433540.844111336,Take profit,0.0,10.065738011908934,225.0
29,short,2024-03-14 10:00:00,1267.0534785856717,2024-03-14 10:15:00,1270.3,10,-3246521.414328299,380603.0217878507,-3627124.4361161496,Stop loss,0.0,0.0,15.0
30,short,2024-03-15 09:30:00,1253.2,2024-03-15 09:45:00,1256.5,10,-3299999.9999999544,376454.99999999994,-3676454.9999999544,Stop loss,0.0,0.0,15.0
31,short,2024-03-15 11:15:00,1253.2393525945718,2024-03-15 14:15:00,1255.1685332822606,10,-1929180.687688813,376261.18288152484,-2305441.870570338,Stop loss,0.0,0.0,180.0
32,long,2024-03-20 14:00:00,1251.5036422825715,2024-03-20 14:15:00,1258.5,10,6996357.717428509,376500.5463423857,6619857.171086123,Last Candle Close,0.0,7.496357717428509,15.0
33,long,2024-03-25 10:30:00,1286.1051615808929,2024-03-25 10:30:00,1282.0,10,-4105161.5808928544,385215.7742371339,-4490377.355129988,Stop loss,0.0,0.0,0.0
34,long,2024-03-26 13:45:00,1283.7546245767817,2024-03-26 14:15:00,1287.0,10,3245375.42321832,385613.1936865172,2859762.229531803,Last Candle Close,0.0,2.74537542321832,30.0
35,long,2024-04-01 10:15:00,1297.2610424529437,2024-04-01 10:30:00,1294.3,10,-2961042.4529437297,388734.1563679415,-3349776.609311671,Stop loss,0.4610424529437296,0.0,15.0
36,long,2024-04-01 14:15:00,1291.4803588776972,2024-04-01 14:15:00,1292.0,10,519641.12230280077,387522.05383165454,132119.06847114622,Last Candle Close,0.0,0.0,0.0
37,long,2024-04-02 14:15:00,1288.7874998395384,2024-04-02 14:15:00,1288.9,10,112500.16046165001,386653.12497593067,-274152.96451428067,Last Candle Close,0.0,0.0,0.0
38,long,2024-04-08 14:00:00,1256.2211168554072,2024-04-08 14:15:00,1253.2,10,-3021116.855407172,376413.167528311,-3397530.0229354827,Stop loss,0.22111685540721737,0.0,15.0
39,long,2024-04-10 10:15:00,1271.64504946045,2024-04-10 10:45:00,1269.0,10,-2645049.4604500816,381096.7574190675,-3026146.217869149,Stop loss,1.6450494604500818,0.0,30.0
40,long,2024-04-11 09:45:00,1255.9155153085894,2024-04-11 14:15:00,1260.5,10,4584484.69141058,377462.32729628833,4207022.364114291,Last Candle Close,0.015515308589328924,6.684484691410489,270.0
41,short,2024-04-12 10:00:00,1262.9598502804881,2024-04-12 11:00:00,1265.5,10,-2540149.7195118736,379268.97754207323,-2919418.6970539466,Stop loss,0.0,0.0,60.0
42,short,2024-04-16 09:45:00,1228.7497950319382,2024-04-16 09:45:00,1232.7,10,-3950204.9680618257,369217.4692547907,-4319422.437316616,Stop loss,0.0,0.0,0.0
43,short,2024-04-16 10:45:00,1228.7142210370175,2024-04-16 14:15:00,1228.5,10,214221.0370175235,368582.13315555255,-154361.09613802907,Last Candle Close,0.0,0.0,210.0
44,long,2024-04-19 14:00:00,1204.8124129608839,2024-04-19 14:15:00,1200.5,10,-4312412.960883875,360796.86194413254,-4673209.822828008,Stop loss,0.0,2.1875870391161243,15.0
45,long,2024-04-22 10:45:00,1211.6,2024-04-22 11:15:00,1207.4,10,-4199999.999999818,362849.99999999994,-4562849.999999818,Stop loss,2.2999999999999545,0.0,30.0
46,long,2024-04-22 14:00:00,1211.4815152695137,2024-04-22 14:15:00,1207.3,10,-4181515.2695137383,362817.22729042696,-4544332.496804166,Stop loss,0.18151526951373853,0.0,15.0
47,long,2024-04-24 09:45:00,1216.8147071198978,2024-04-24 14:15:00,1230.0,10,13185292.880102225,367022.20606798463,12818270.67403424,Last Candle Close,0.0,15.585292880102315,270.0
48,long,2024-05-10 10:00:00,1278.728376381878,2024-05-10 10:30:00,1275.9,10,-2828376.381877888,383194.25645728165,-3211570.6383351698,Stop loss,1.6283763818780699,0.0,30.0
49,short,2024-05-13 11:15:00,1268.5592009694396,2024-05-13 13:30:00,1271.5,10,-2940799.030560356,381008.8801454159,-3321807.910705772,Stop loss,0.0,0.0,135.0
50,long,2024-05-15 13:45:00,1290.8914645462582,2024-05-15 14:00:00,1288.3,10,-2591464.546258294,386878.71968193864,-2978343.2659402327,Stop loss,0.0,0.10853545374175155,15.0
51,long,2024-05-23 14:00:00,1290.9830908820275,2024-05-23 14:15:00,1294.4,10,3416909.1179726366,387807.4636323041,3029101.6543403324,Last Candle Close,0.0,1.1169091179724546,15.0
52,long,2024-05-24 11:00:00,1298.1917713574285,2024-05-24 11:00:00,1295.5,10,-2691771.357428479,389053.7657036142,-3080825.1231320933,Stop loss,0.0,0.0,0.0
53,short,2024-05-24 11:15:00,1288.9942114315586,2024-05-24 14:00:00,1277.808952670557,10,11185258.761001706,385020.4746153173,10800238.28638639,Take profit,0.0,0.0,165.0
54,short,2024-05-27 14:00:00,1275.1740476418843,2024-05-27 14:00:00,1278.3,10,-3125952.358115683,383021.10714628256,-3508973.4652619655,Stop loss,0.0,0.0,0.0
55,short,2024-05-30 11:15:00,1262.7414735738423,2024-05-30 14:00:00,1265.6,10,-2858526.4261575956,379251.2210360763,-3237777.647193672,Stop loss,0.0,0.0,165.0
56,long,2024-06-04 09:45:00,1297.8023697606159,2024-06-04 13:45:00,1294.9,10,-2902369.7606157837,388905.35546409234,-3291275.116079876,Stop loss,1.3023697606158748,2.697630239384125,240.0
