datetime,position,cash,equity,unrealized_pnl,realized_pnl,close_price
2024-01-02 09:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1141.4
2024-01-02 09:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1139.7
2024-01-02 09:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1139.8
2024-01-02 09:45:00,FLAT,500000000.0,500000000.0,0.0,0.0,1140.8
2024-01-02 10:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1139.9
2024-01-02 10:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1139.9
2024-01-02 10:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1137.5
2024-01-02 10:45:00,FLAT,500000000.0,500000000.0,0.0,0.0,1134.7
2024-01-02 11:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1132.9
2024-01-02 11:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1132.8
2024-01-02 13:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.7
2024-01-02 13:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.8
2024-01-02 13:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.1
2024-01-02 13:45:00,FLAT,500000000.0,500000000.0,0.0,0.0,1135.0
2024-01-02 14:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1134.4
2024-01-02 14:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1132.6
2024-01-02 14:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1132.3
2024-01-03 09:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1127.4
2024-01-03 09:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1127.6
2024-01-03 09:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1129.2
2024-01-03 09:45:00,FLAT,500000000.0,500000000.0,0.0,0.0,1128.5
2024-01-03 10:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1129.0
2024-01-03 10:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1129.8
2024-01-03 10:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1130.5
2024-01-03 10:45:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.8
2024-01-03 11:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.6
2024-01-03 11:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.6
2024-01-03 13:00:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.6
2024-01-03 13:15:00,FLAT,500000000.0,500000000.0,0.0,0.0,1133.8
2024-01-03 13:30:00,FLAT,500000000.0,500000000.0,0.0,0.0,1136.1
2024-01-03 13:45:00,FLAT,500000000.0,500000000.0,0.0,0.0,1136.2
2024-01-03 14:00:00,LONG,499829609.9683333,499096065.52388877,-733544.444444533,0.0,1135.2
2024-01-03 14:15:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1142.1
2024-01-03 14:30:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1144.0
2024-01-04 09:00:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1146.5
2024-01-04 09:15:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1146.4
2024-01-04 09:30:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1147.5
2024-01-04 09:45:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1148.3
2024-01-04 10:00:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1147.9
2024-01-04 10:15:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1148.6
2024-01-04 10:30:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1149.8
2024-01-04 10:45:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1153.0
2024-01-04 11:00:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1157.0
2024-01-04 11:15:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1163.5
2024-01-04 13:00:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1159.8
2024-01-04 13:15:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1167.1
2024-01-04 13:30:00,FLAT,505324825.52388865,505324825.52388865,0.0,0.0,1166.8
2024-01-04 13:45:00,LONG,505149857.19107825,506194305.12182623,1044447.9307479924,0.0,1167.5
2024-01-04 14:00:00,LONG,505149857.19107825,506594305.12182635,1444447.9307480834,0.0,1167.9
