datetime,position,equity,cash,unrealized_pnl,close_price
2025-04-02 09:30:00,FLAT,500000000.0,500000000.0,0.0,1370.2
2025-04-02 09:45:00,FLAT,500000000.0,500000000.0,0.0,1372.4
2025-04-02 10:00:00,LONG,498994050.00000006,499794050.0,-799999.9999999545,1372.2
2025-04-02 10:15:00,LONG,498594049.99999994,499794050.0,-1200000.0000000454,1371.8
2025-04-02 10:30:00,FLAT,497342982.27272725,497342982.27272725,0.0,1371.3
2025-04-02 10:45:00,FLAT,497342982.27272725,497342982.27272725,0.0,1371.2
2025-04-02 11:00:00,FLAT,497342982.27272725,497342982.27272725,0.0,1371.3
2025-04-02 11:15:00,FLAT,497342982.27272725,497342982.27272725,0.0,1372.1
2025-04-02 11:30:00,FLAT,497342982.27272725,497342982.27272725,0.0,1372.2
2025-04-02 13:00:00,FLAT,497342982.27272725,497342982.27272725,0.0,1370.8
2025-04-02 13:15:00,FLAT,497342982.27272725,497342982.27272725,0.0,1371.3
2025-04-02 13:30:00,FLAT,497342982.27272725,497342982.27272725,0.0,1372.0
2025-04-02 13:45:00,FLAT,497342982.27272725,497342982.27272725,0.0,1373.8
2025-04-02 14:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1373.8
2025-04-02 14:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1370.9
2025-04-02 14:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1370.8
2025-04-03 09:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1331.5
2025-04-03 09:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1332.7
2025-04-03 09:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1320.0
2025-04-03 09:45:00,FLAT,495053641.13636345,495053641.13636345,0.0,1323.0
2025-04-03 10:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1320.7
2025-04-03 10:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1316.6
2025-04-03 10:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1302.8
2025-04-03 10:45:00,FLAT,495053641.13636345,495053641.13636345,0.0,1302.0
2025-04-03 11:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1301.0
2025-04-03 11:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1298.0
2025-04-03 11:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1297.5
2025-04-03 13:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1287.3
2025-04-03 13:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1283.2
2025-04-03 13:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1281.8
2025-04-03 13:45:00,FLAT,495053641.13636345,495053641.13636345,0.0,1279.5
2025-04-03 14:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1276.7
2025-04-03 14:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1275.6
2025-04-04 09:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1231.2
2025-04-04 09:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1224.5
2025-04-04 09:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1237.0
2025-04-04 09:45:00,FLAT,495053641.13636345,495053641.13636345,0.0,1242.4
2025-04-04 10:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1254.2
2025-04-04 10:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1256.1
2025-04-04 10:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1252.3
2025-04-04 10:45:00,FLAT,495053641.13636345,495053641.13636345,0.0,1239.8
2025-04-04 11:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1234.7
2025-04-04 11:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1235.6
2025-04-04 11:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1235.3
2025-04-04 13:00:00,FLAT,495053641.13636345,495053641.13636345,0.0,1242.2
2025-04-04 13:15:00,FLAT,495053641.13636345,495053641.13636345,0.0,1246.6
2025-04-04 13:30:00,FLAT,495053641.13636345,495053641.13636345,0.0,1247.5
2025-04-04 13:45:00,FLAT,495053641.13636345,495053641.13636345,0.0,1255.5
2025-04-04 14:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1253.7
2025-04-04 14:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1267.0
2025-04-04 14:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1265.1
2025-04-08 09:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1235.6
2025-04-08 09:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1212.4
2025-04-08 09:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1218.0
2025-04-08 09:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1211.4
2025-04-08 10:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1196.1
2025-04-08 10:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1185.8
2025-04-08 10:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1182.0
2025-04-08 10:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1187.1
2025-04-08 11:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1195.2
2025-04-08 11:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1205.0
2025-04-08 11:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1204.0
2025-04-08 13:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1193.9
2025-04-08 13:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1188.8
2025-04-08 13:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1193.7
2025-04-08 13:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1187.4
2025-04-08 14:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1178.5
2025-04-08 14:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1178.5
2025-04-09 09:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1130.3
2025-04-09 09:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1148.9
2025-04-09 09:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1167.0
2025-04-09 09:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1190.3
2025-04-09 10:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1188.4
2025-04-09 10:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1181.7
2025-04-09 10:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1176.6
2025-04-09 10:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1174.1
2025-04-09 11:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1184.4
2025-04-09 11:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1160.9
2025-04-09 11:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1162.0
2025-04-09 13:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1186.0
2025-04-09 13:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1189.1
2025-04-09 13:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1185.2
2025-04-09 13:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1187.0
2025-04-09 14:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1169.7
2025-04-09 14:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1162.0
2025-04-09 14:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1165.0
2025-04-10 09:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1260.3
2025-04-10 09:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1260.4
2025-04-11 09:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1265.2
2025-04-11 09:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1272.2
2025-04-11 09:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1269.9
2025-04-11 09:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1271.1
2025-04-11 10:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1285.1
2025-04-11 10:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1284.3
2025-04-11 10:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1287.6
2025-04-11 10:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1285.3
2025-04-11 11:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1288.1
2025-04-11 11:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1285.1
2025-04-11 11:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1285.4
2025-04-11 13:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1291.4
2025-04-11 13:15:00,FLAT,489668651.59090894,489668651.59090894,0.0,1294.5
2025-04-11 13:30:00,FLAT,489668651.59090894,489668651.59090894,0.0,1291.5
2025-04-11 13:45:00,FLAT,489668651.59090894,489668651.59090894,0.0,1296.0
2025-04-11 14:00:00,FLAT,489668651.59090894,489668651.59090894,0.0,1297.7
2025-04-11 14:15:00,LONG,493373876.59090906,489473876.59090894,3900000.000000091,1302.4
2025-04-11 14:30:00,LONG,496173876.590909,489473876.59090894,6700000.000000046,1305.2
2025-04-14 09:00:00,LONG,506073876.5909088,489473876.59090894,16599999.999999909,1315.1
2025-04-14 09:15:00,LONG,501673876.590909,489473876.59090894,12200000.000000045,1310.7
2025-04-14 09:30:00,LONG,501873876.59090906,489473876.59090894,12400000.000000091,1310.9
2025-04-14 09:45:00,LONG,503973876.59090894,489473876.59090894,14500000.0,1313.0
2025-04-14 10:00:00,LONG,503873876.59090906,489473876.59090894,14400000.000000091,1312.9
2025-04-14 10:15:00,LONG,504473876.59090894,489473876.59090894,15000000.0,1313.5
2025-04-14 10:30:00,LONG,504573876.5909088,489473876.59090894,15099999.999999909,1313.6
2025-04-14 10:45:00,LONG,503273876.5909089,489473876.59090894,13799999.999999955,1312.3
2025-04-14 11:00:00,LONG,501173876.590909,489473876.59090894,11700000.000000045,1310.2
2025-04-14 11:15:00,LONG,502273876.5909089,489473876.59090894,12799999.999999955,1311.3
2025-04-14 13:00:00,LONG,505173876.590909,489473876.59090894,15700000.000000045,1314.2
2025-04-14 13:15:00,LONG,505873876.59090906,489473876.59090894,16400000.000000091,1314.9
2025-04-14 13:30:00,LONG,506973876.59090894,489473876.59090894,17500000.0,1316.0
2025-04-14 13:45:00,LONG,507073876.5909089,489473876.59090894,17599999.99999991,1316.1
2025-04-14 14:00:00,LONG,509973876.59090894,489473876.59090894,20500000.0,1319.0
2025-04-14 14:15:00,LONG,510273876.5909089,489473876.59090894,20799999.999999955,1319.3
2025-04-14 14:30:00,LONG,510973876.59090894,489473876.59090894,21500000.0,1320.0
2025-04-15 09:00:00,LONG,493473876.59090894,489473876.59090894,4000000.0,1302.5
2025-04-15 09:15:00,LONG,496273876.5909089,489473876.59090894,6799999.999999954,1305.3
2025-04-15 09:30:00,LONG,500773876.5909089,489473876.59090894,11299999.999999955,1309.8
2025-04-15 09:45:00,LONG,498873876.59090906,489473876.59090894,9400000.000000091,1307.9
2025-04-15 10:00:00,LONG,504673876.590909,489473876.59090894,15200000.000000045,1313.7
2025-04-15 10:15:00,LONG,503973876.59090894,489473876.59090894,14500000.0,1313.0
2025-04-15 10:30:00,LONG,501673876.590909,489473876.59090894,12200000.000000045,1310.7
2025-04-15 10:45:00,LONG,498373876.59090906,489473876.59090894,8900000.000000091,1307.4
2025-04-15 11:00:00,LONG,498873876.59090906,489473876.59090894,9400000.000000091,1307.9
2025-04-15 11:15:00,LONG,496173876.590909,489473876.59090894,6700000.000000046,1305.2
2025-04-15 11:30:00,LONG,496273876.5909089,489473876.59090894,6799999.999999954,1305.3
2025-04-15 13:00:00,LONG,495873876.59090906,489473876.59090894,6400000.000000091,1304.9
2025-04-15 13:15:00,LONG,498073876.5909088,489473876.59090894,8599999.999999909,1307.1
2025-04-15 13:30:00,LONG,497273876.5909089,489473876.59090894,7799999.999999954,1306.3
2025-04-15 13:45:00,LONG,499973876.59090894,489473876.59090894,10500000.0,1309.0
2025-04-15 14:00:00,LONG,500573876.5909088,489473876.59090894,11099999.999999909,1309.6
2025-04-15 14:15:00,LONG,498773876.5909089,489473876.59090894,9299999.999999955,1307.8
2025-04-15 14:30:00,LONG,499373876.59090906,489473876.59090894,9900000.000000091,1308.4
2025-04-16 09:00:00,LONG,495773876.5909089,489473876.59090894,6299999.999999954,1304.8
2025-04-16 09:15:00,LONG,498473876.59090894,489473876.59090894,9000000.0,1307.5
2025-04-16 09:30:00,LONG,497773876.5909089,489473876.59090894,8299999.999999954,1306.8
2025-04-16 09:45:00,LONG,500773876.5909089,489473876.59090894,11299999.999999955,1309.8
2025-04-16 10:00:00,LONG,500873876.59090906,489473876.59090894,11400000.000000091,1309.9
2025-04-16 10:15:00,LONG,502873876.59090906,489473876.59090894,13400000.000000091,1311.9
2025-04-16 10:30:00,LONG,501073876.5909088,489473876.59090894,11599999.999999909,1310.1
2025-04-16 10:45:00,LONG,501073876.5909088,489473876.59090894,11599999.999999909,1310.1
2025-04-16 11:00:00,LONG,500073876.5909088,489473876.59090894,10599999.999999909,1309.1
2025-04-16 11:15:00,LONG,499373876.59090906,489473876.59090894,9900000.000000091,1308.4
2025-04-16 11:30:00,LONG,499373876.59090906,489473876.59090894,9900000.000000091,1308.4
2025-04-16 13:00:00,LONG,495673876.590909,489473876.59090894,6200000.000000046,1304.7
2025-04-16 13:15:00,LONG,492173876.590909,489473876.59090894,2700000.0000000456,1301.2
2025-04-16 13:30:00,LONG,487873876.59090906,489473876.59090894,-1599999.999999909,1296.9
2025-04-16 13:45:00,FLAT,485138813.6363634,485138813.6363634,0.0,1298.3
2025-04-16 14:00:00,FLAT,485138813.6363634,485138813.6363634,0.0,1289.5
2025-04-16 14:15:00,FLAT,485138813.6363634,485138813.6363634,0.0,1287.1
2025-04-16 14:30:00,FLAT,485138813.6363634,485138813.6363634,0.0,1286.5
2025-04-17 09:00:00,FLAT,485138813.6363634,485138813.6363634,0.0,1287.1
2025-04-17 09:15:00,FLAT,485138813.6363634,485138813.6363634,0.0,1294.6
